name,wikidata,svwiki
henok abrahamsson,,
olle Åhlund,,
mauritz Åkervall,Q124354542,https://sv.wikipedia.org/wiki/Mauritz_%C3%85kervall
conny aldorsson,,
stefan allbäck,,
gösta almbjerg,,
knut almqvist,,
reine almqvist,,
rolf almqvist,,
roger altemark,,
peder amberntsson,,
Åke andersson,Q270861,https://sv.wikipedia.org/wiki/%C3%85ke_Andersson_(ishockeyspelare)
albert andersson,,
allan andersson,,
bertil andersson i,,
bertil andersson ii,,
dick andersson,,
erik andersson,,
ernst andersson,,
gillis andersson,,
gösta andersson,,
gunnar andersson,,
gustaf andersson,,
harry andersson,,
henry andersson i,,
henry andersson ii,,
henry andersson iii,,
karl andersson,,
knut andersson,,
lars andersson,,
leif andersson,,
michael andersson,,
nils andersson,,
otto andersson,,
stellan andersson,,
stig andersson i,,
stig andersson ii,,
verner andersson,,
verner andersson,,
nils andreasson,,
erik angren,,
josef appelgren,,
sven appelgren,,
kurt axelsson,,
kent bäck,,
leif beckman,,
algot bengtsson,,
gunnar bengtsson,,
holger bengtsson,,
holger bengtsson,,
olle bengtsson,,
fritz berg,,
yngve bergfelt,,
gunnar berghult,,
Åke bergling,,
roland berglöv,,
erik bergqvist,,
kurt bergsten,,
algot bergström,,
edvin bergström,,
bengt berndtsson,,
mikael berthagen,,
bengt bertilsson,,
allan billing,,
stig björklund,,
joel björkman,,
leif björkman,,
stig björkman,,
rolf blomqvist,,
thomas bloom,,
gösta bohman,,
bo börjesson,,
erik börjesson,,
helge börjesson,,
reino börjesson,,
reino börjesson,,
rune börjesson,,
rune börjesson,,
sören börjesson,,
yngve brodd,,
bror carlsson,,
gottfrid carlsson,,
kjell-Åke carlsson,,
viktor carlund,,
lars cato,,
rolf christensson,,
leif claesson,,
ingemar clarin,,
gösta clark,,
dan corneliusson,,
lasse dahlenborg,,
peter dahlqvist,,
erik eiserman,,
nils ekeroth,,
rolf eklöf,,
håkan eklund,,
dan ekner,,
erland ekström,,
karl-erik eliasson,,
göte ellström,,
rune emanuelsson,,
bertil ericsson,,
björn eriksson,,
ingemar eriksson,,
nils eriksson,,
per-erik eriksson,,
kaj eskelinen,,
 eusébio,,
axel färnström,,
gunnar forsberg,,
leif forsberg,,
eine fredriksson,,
folke fredriksson,,
sven friberg,,
rolf gardtman,,
rolf gardtman,,
evert grahn,,
evert grahn,,
erik granath,,
krister granbom,,
joakim grandelius,,
tryggve granqvist,,
kent grek,,
gunnar gren,,
gunnar gren,,
gunnar gren,,
gunnar gren,,
lars gunnskog,,
gustaf gustafsson,,
magnus gustafsson,,
rolf gustafsson,,
Åke gustavsson,,
christer gustavsson,,
patrik gustavsson,,
ragnar gustavsson,,
jonny hägerå,,
per-olof hagman,,
sjunne hallberg,,
thomas hallberg,,
Åke hallman,,
sven hammar,,
nils hansén,,
Åke hansson,,
Åke hansson,,
evert hansson,,
holger hansson,,
knut hansson,,
per-olof hansson,,
rolf hansson,,
viktor hansson,,
lars-ove haraldsson,,
kent harman,,
einar hedeberg,,
christer heideberg,,
henning helgesson,,
ove helmér,,
lars henriksson,,
gustaf hermansson,,
fritjof hillén,,
alf hjelm,,
erik hjelm,,
gunder högström,,
gunnar holmberg,,
karl-erik holmberg,,
ivan holmdahl,,
vallentin hultén,,
olof hultfeldt,,
erik hultgren,,
erik hysén,,
glenn hysén,,
glenn hysén,,
jethro jackson,,
karl-alfred jacobsson,,
sanny jacobsson,,
sven jacobsson,,
lars jangblad,,
bertil jansson,,
per-Åke jansson,,
sören järelöv,,
hasse jeppson,,
hasse jeppson,,
rune jingård,,
kurt johanson,,
baldwin johansson,,
bebben johansson,,
bengt-göran johansson,,
bo johansson,,
einar johansson,,
elam johansson,,
erik johansson,,
filip johansson,,
folke johansson,,
gunnar johansson,,
gustaf johansson,,
gustav johansson,,
hans johansson,,
harry johansson,,
harry johansson,,
holger johansson,,
jan johansson,,
john johansson,,
karl johansson,,
knut johansson,,
lars-göran johansson,,
lennart johansson,,
magnus johansson,,
nils johansson,,
olof johansson,,
paul johansson,,
roger johansson,,
roland johansson,,
ronald johansson,,
sven johansson,,
egon johnsson,,
sven jonasson,,
carl jonsson,,
fridolf jonsson,,
helge jonsson,,
nils jonsson,,
stig jonsson,,
tomas jönsson,,
yngve källkvist,,
pontus kåmark,,
gunnar kämpendahl,,
conny karlsson,,
einar karlsson,,
göte karlsson,,
gunnar karlsson,,
herbert karlsson,,
joachim karlsson,,
nils karlsson,,
ola karlsson,,
roger karlsson,,
rolf karlsson,,
walter karlsson,,
willis karlsson,,
nicklas karlström,,
anders kiel,,
ove kindvall,,
ivar klingström,,
arne knutsson,,
carl krantz,,
karl erik kristensson,,
Åke kristiansson,,
albert kristiansson,,
douglas krook,,
douglas krook,,
svejde krook,,
evert lager,,
benno larsen,,
berry larsson,,
folke larsson,,
henry larsson,,
leif larsson,,
leif larsson,,
nils larsson,,
osborn larsson,,
thomas larsson,,
torilld larsson,,
erik levin,,
helge liljebjörn,,
erik liljenberg,,
folke lind,,
gunro lindberg,,
roland lindberg,,
yngve lindegren,,
leif linderoth,,
roland lindqvist,,
stefan lindqvist,,
stig lindqvist,,
gunnar löfgren,,
stig löfgren,,
rune ludvigsson,,
arne lund,,
valdus lund,,
helmer lundgren,,
herbert lundgren,,
arne lundqvist,,
evert lundqvist,,
thomas madsen,,
harry magnusson,,
fridolf martinsson,,
allan mattiasson,,
bo mattsson,,
bror mellberg,,
håkan mild,,
bengt mossberg,,
göran nicklasson,,
donald niklasson,,
erik nilsson,,
harry nilsson,,
john nilsson,,
lennart nilsson i,,
lennart nilsson ii,,
morgan nilsson,,
ove nilsson,,
sixten nilsson,,
torbjörn nilsson,,
björn nordqvist,,
roger nordstrand,,
jan nordström,,
jan nordström,,
per nordström,,
Åke norén,,
arne nyberg,,
yngve nykvist,,
hans-eje nylander,,
hugo Ödvall,,
owe ohlsson,,
reine olausson,,
lars olofsson,,
per olofsson,,
albert olsson,,
arvid olsson,,
axel olsson,,
dennis olsson,,
gunnar olsson,,
hasse olsson,,
jan olsson,,
karl olsson,,
lars-hugo olsson,,
nils olsson,,
börje oskarsson,,
dan Östlund,,
ernst Östlund,Q124460301,https://sv.wikipedia.org/wiki/Ernst_%C3%96stlund
lennart ottordahl,,
lennart ottordahl,,
ragnvald pålsson,,
sten pålsson,,
gunnar paulsson,,
Örjan persson,Q297908,https://sv.wikipedia.org/wiki/%C3%96rjan_Persson_(fotbollsspelare)
sune persson,,
rolf petersson,,
thomas ravelli,,
stefan rehn,,
gunnar reis,,
sixten rosenqvist,,
anders rydberg,,
gunnar rydberg,,
ingvar rydell,,
sven rydell,,
gustaf samuelsson,,
hasse samuelsson,,
herbert samuelsson,,
yngve samuelsson,,
carl-erik sandberg,,
mauritz sandberg,,
herbert sandström,,
henry schéele,,
Åke schön,,
vilgot schwartz,,
bertil sernros,,
agne simonsson,,
andreas sjöberg,,
bertil sjöberg,,
sven sjöblom,,
niclas sjöstedt,,
göte sjösten,,
vallentin skoglund,,
jens söderberg,,
gösta stenberg,,
kurt svanström,,
tord svanström,,
allan svantesson,,
anders svensson,,
gösta svensson,,
harry svensson,,
henning svensson,,
ingvar svensson,,
mårten svensson,,
ola svensson,,
torsten svensson,,
Åke tholander,Q116969146,
karl thorin,,
curt thorstensson,,
bertil thulin,,
konrad törnqvist,,
bengt vikström,,
berth wåhlin,,
bror wahlström,,
jens wålemark,,
lennart wallin,,
viktor wallin,,
leif wendt,,
gunnar wenzel,,
rune wenzel,,
gustaf werner,,
kenneth wessberg,,
rolf wetterlind,,
lennart wing,,
nils wiréen,,
leif ytterell,,
gunnar zacharoff,,
harry zachrisson,,
robert zander,,
